date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:00:37	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20May%202022%2011:00:37%20GMT	https://karafuru3d.art/robots.txt		(from )
04:00:37	17141/17141	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20May%202022%2022:21:20%20GMT	https://karafuru3d.art/	C:/Users/Manager/Desktop/Karafuru%203d/Karafuru%203D/karafuru3d.art/index.html	(from )
04:00:38	7908/7908	---M-Z	200	added ('OK')	application/javascript	etag:OWS3SLYLH7SQPX8L	http://tag.azame.net/tag/script.js	C:/Users/Manager/Desktop/Karafuru%203d/Karafuru%203D/tag.azame.net/tag/script.js	(from https://karafuru3d.art/)
04:00:38	0/0	---M--	200	added ('OK')	text/css	date:Sat,%2021%20May%202022%2011:00:38%20GMT	https://tag.azame.net/tag/style.css	C:/Users/Manager/Desktop/Karafuru%203d/Karafuru%203D/tag.azame.net/tag/style.1.delayed	(from https://karafuru3d.art/)
04:00:38	16510/16510	---M--	200	added ('OK')	image/png	date:Sat,%2014%20May%202022%2022:15:04%20GMT	https://karafuru3d.art/favicon.png	C:/Users/Manager/Desktop/Karafuru%203d/Karafuru%203D/karafuru3d.art/favicon.png	(from https://karafuru3d.art/)
04:00:39	10732/10732	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20May%202022%2022:15:04%20GMT	https://karafuru3d.art/css/app.min.css	C:/Users/Manager/Desktop/Karafuru%203d/Karafuru%203D/karafuru3d.art/css/app.min.css	(from https://karafuru3d.art/)
04:00:40	193409/193409	---M--	200	added ('OK')	text/html	date:Sat,%2014%20May%202022%2022:15:04%20GMT	https://karafuru3d.art/gtag/js?id=G-R4HG1PG6RH	C:/Users/Manager/Desktop/Karafuru%203d/Karafuru%203D/karafuru3d.art/gtag/js09d8.html	(from https://karafuru3d.art/)
04:00:40	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20May%202022%2011:00:40%20GMT	https://karafuru3d.art/cdn-cgi/bm/cv/669835187/api.js	C:/Users/Manager/Desktop/Karafuru%203d/Karafuru%203D/karafuru3d.art/cdn-cgi/bm/cv/669835187/api.6.delayed	(from https://karafuru3d.art/)
04:00:40	29843/29843	---M--	200	added ('OK')	image/png	date:Sat,%2014%20May%202022%2022:15:04%20GMT	https://karafuru3d.art/images/logo.png	C:/Users/Manager/Desktop/Karafuru%203d/Karafuru%203D/karafuru3d.art/images/logo.png	(from https://karafuru3d.art/)
04:00:40	583/583	---M--	200	added ('OK')	image/png	date:Sat,%2014%20May%202022%2022:15:04%20GMT	https://karafuru3d.art/static/twit-head.png	C:/Users/Manager/Desktop/Karafuru%203d/Karafuru%203D/karafuru3d.art/static/twit-head.png	(from https://karafuru3d.art/)
